2019-08-21 21:46:25,171 [   7682]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index jvm.static.member.type will be built. 
2019-08-21 21:46:25,184 [   7695]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index jvm.static.member.name will be built. 
2019-08-21 21:46:25,188 [   7699]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.method.name will be built. 
2019-08-21 21:46:25,191 [   7702]   INFO - ellij.project.impl.ProjectImpl - 20 project components initialized in 376 ms 
2019-08-21 21:46:25,193 [   7704]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.class.fqn will be built. 
2019-08-21 21:46:25,198 [   7709]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.field.name will be built. 
2019-08-21 21:46:25,203 [   7714]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.anonymous.baseref will be built. 
2019-08-21 21:46:25,208 [   7719]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.annotations will be built. 
2019-08-21 21:46:25,213 [   7724]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index properties.index will be built. 
2019-08-21 21:46:25,216 [   7727]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.class.fqn will be built. 
2019-08-21 21:46:25,220 [   7731]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.script.fqn will be built. 
2019-08-21 21:46:25,224 [   7735]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.field.name will be built. 
2019-08-21 21:46:25,228 [   7739]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.method.name will be built. 
2019-08-21 21:46:25,232 [   7743]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.annot.method.name will be built. 
2019-08-21 21:46:25,236 [   7747]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.annot.members will be built. 
2019-08-21 21:46:25,240 [   7751]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.script.class will be built. 
2019-08-21 21:46:25,244 [   7755]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.class.super will be built. 
2019-08-21 21:46:25,249 [   7760]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.anonymous.class will be built. 
2019-08-21 21:46:25,252 [   7763]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinExactPackagesIndex will be built. 
2019-08-21 21:46:25,257 [   7768]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelClassByPackageIndex will be built. 
2019-08-21 21:46:25,261 [   7772]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelFunctionByPackageIndex will be built. 
2019-08-21 21:46:25,265 [   7776]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelPropertyByPackageIndex will be built. 
2019-08-21 21:46:25,272 [   7783]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelTypeAliasByPackageIndex will be built. 
2019-08-21 21:46:25,278 [   7789]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinClassShortNameIndex will be built. 
2019-08-21 21:46:25,282 [   7793]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFullClassNameIndex will be built. 
2019-08-21 21:46:25,287 [   7798]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinPropertyShortNameIndex will be built. 
2019-08-21 21:46:25,291 [   7802]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFunctionShortNameIndex will be built. 
2019-08-21 21:46:25,298 [   7809]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTypeAliasShortNameIndex will be built. 
2019-08-21 21:46:25,303 [   7814]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinSuperClassIndex will be built. 
2019-08-21 21:46:25,308 [   7819]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelFunctionFqnNameIndex will be built. 
2019-08-21 21:46:25,312 [   7823]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelPropertyFqnNameIndex will be built. 
2019-08-21 21:46:25,317 [   7828]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelTypeAliasFqNameIndex will be built. 
2019-08-21 21:46:25,322 [   7833]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelExtensionsByReceiverTypeIndex will be built. 
2019-08-21 21:46:25,328 [   7839]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinAnnotationsIndex will be built. 
2019-08-21 21:46:25,333 [   7844]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinProbablyNothingFunctionShortNameIndex will be built. 
2019-08-21 21:46:25,337 [   7848]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinProbablyNothingPropertyShortNameIndex will be built. 
2019-08-21 21:46:25,343 [   7854]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinProbablyContractedFunctionShortNameIndex will be built. 
2019-08-21 21:46:25,347 [   7858]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFileFacadeFqNameIndex will be built. 
2019-08-21 21:46:25,351 [   7862]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFilePartClassIndex will be built. 
2019-08-21 21:46:25,355 [   7866]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFileFacadeClassByPackageIndex will be built. 
2019-08-21 21:46:25,359 [   7870]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFileFacadeShortNameIndex will be built. 
2019-08-21 21:46:25,363 [   7874]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinMultifileClassPartIndex will be built. 
2019-08-21 21:46:25,367 [   7878]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinScriptFqnIndex will be built. 
2019-08-21 21:46:25,371 [   7882]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTypeAliasByExpansionShortNameIndex will be built. 
2019-08-21 21:46:25,375 [   7886]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinOverridableInternalMembersShortNameIndex will be built. 
2019-08-21 21:46:25,379 [   7890]   INFO - exImpl$StubIndexInitialization - Initialization done:238 
2019-08-21 21:46:25,533 [   8044]   WARN - ConfigurableExtensionPointUtil - ignore deprecated groupId: language for id: preferences.language.Kotlin.scripting 
2019-08-21 21:46:28,795 [  11306]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-08-21 21:46:29,937 [  12448]   INFO - CompilerWorkspaceConfiguration - Available processors: 4 
2019-08-21 21:46:31,475 [  13986]   INFO - pi.util.registry.RegistryValue - Registry value 'java.completion.argument.hints' has changed to 'false' 
2019-08-21 21:46:31,477 [  13988]   INFO - pi.util.registry.RegistryValue - Registry value 'java.completion.argument.hints.internal' has changed to 'false' 
2019-08-21 21:46:32,403 [  14914]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-08-21 21:46:49,563 [  32074]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-08-21 21:46:49,565 [  32076]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-08-21 21:46:49,565 [  32076]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-08-21 21:46:49,584 [  32095]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-08-21 21:46:49,586 [  32097]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-08-21 21:46:49,586 [  32097]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2019-08-21 21:46:49,607 [  32118]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-08-21 21:46:49,624 [  32135]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-08-21 21:46:49,625 [  32136]   INFO - plication.impl.ApplicationImpl - Write action Statistics:
Event number:     0
Total time spent: 0ms
Average duration: 0ms
Median  duration: 0ms
Max     duration: 0ms (it was 'null') 
2019-08-21 21:46:49,625 [  32136]   INFO - plication.impl.ApplicationImpl - AnAction.update() Statistics:
Event number:     0
Total time spent: 0ms
Average duration: 0ms
Median  duration: 0ms
Max     duration: 0ms (it was 'null') 
2019-08-21 21:46:49,626 [  32137]   INFO - plication.impl.ApplicationImpl - Global instance threads created counter = 4; ProcessIOExecutorService threads: 0 
2019-08-21 21:46:49,628 [  32139]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-08-21 21:46:49,629 [  32140]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
